GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000100558,2.08,0.0769,0.502,0.937,0.012,0.0871
ENSDARG00000100559,1.34,0.276,0.616,0.542,0.0762,0.106
ENSDARG00000100560,0.212,0.0728,0.618,0.196,0.108,0.113
ENSDARG00000100562,1.39,0.121,0.617,1.39,0.107,0.104
ENSDARG00000100564,4.02,0.356,0.321,1.15,0.113,0.061
ENSDARG00000100568,0.431,0.198,0.784,0.273,0.12,0.142
ENSDARG00000100573,5.2,0.224,0.845,2.03,0.0991,0.145
ENSDARG00000100582,8.59,0.0276,1.1,3.05,0.0189,0.182
ENSDARG00000100583,0.167,0.117,0.725,0.121,0.0574,0.12
ENSDARG00000100584,0.458,0.239,0.265,0.298,0.164,0.0517
ENSDARG00000100585,10.2,0.193,0.513,8.77,0.16,0.0913
ENSDARG00000100587,3.06,0.444,0.463,1.18,0.182,0.0867
ENSDARG00000100588,30.2,0.0443,0.766,10.1,0.0246,0.128
ENSDARG00000100591,0.0206,0.149,1.76,0.0291,0.18,0.262
ENSDARG00000100592,0.367,0.334,0.534,0.274,0.267,0.0935
ENSDARG00000100594,0.341,0.211,0.735,0.22,0.1,0.122
ENSDARG00000100596,0.224,0.0165,0.545,0.0608,0.011,0.103
ENSDARG00000100597,25.5,0.453,0.371,7.82,0.153,0.0702
ENSDARG00000100598,0.246,0.133,0.502,0.21,0.126,0.086
ENSDARG00000100606,0.0807,0.0114,0.192,0.0117,0.00505,0.041
ENSDARG00000100607,0.0698,0.162,0.316,0.0646,0.175,0.0599
ENSDARG00000100613,0.225,0.153,0.906,0.247,0.254,0.171
ENSDARG00000100614,0.0282,0.223,0.417,0.0291,0.218,0.0733
ENSDARG00000100620,0.458,0.137,0.67,0.229,0.0444,0.111
ENSDARG00000100623,0.321,0.0404,0.468,0.291,0.0247,0.0839
ENSDARG00000100624,1.83,0.166,0.702,1.24,0.142,0.117
ENSDARG00000100626,0.00668,0.646,0.164,0.00682,0.0665,0.0332
ENSDARG00000100631,2.17,0.265,0.833,1.52,0.176,0.151
ENSDARG00000100633,0.61,0.0987,0.157,0.18,0.0239,0.0322
ENSDARG00000100635,0.551,0.308,1.16,0.636,0.459,0.205
ENSDARG00000100636,4.28,0.112,0.768,3.97,0.0917,0.128
ENSDARG00000100640,0.237,0.236,0.589,0.135,0.138,0.105
ENSDARG00000100642,2.63,0.146,0.722,2.37,0.139,0.119
ENSDARG00000100651,35.4,0.508,0.305,11.1,0.173,0.0607
ENSDARG00000100652,0.223,0.171,0.943,0.177,0.113,0.174
ENSDARG00000100653,0.314,0.226,0.766,0.194,0.138,0.136
ENSDARG00000100654,0.0249,0.0122,0.16,0.00679,0.0104,0.0385
ENSDARG00000100657,0.348,0.0449,0.682,0.113,0.0243,0.114
ENSDARG00000100658,0.0224,0.156,0.21,0.0133,0.0265,0.0412
ENSDARG00000100660,0.217,0.286,0.426,0.0785,0.0281,0.0768
ENSDARG00000100666,0.387,0.0531,0.297,0.232,0.0231,0.0562
ENSDARG00000100669,0.0174,0.0204,0.125,0.00628,0.0164,0.0305
ENSDARG00000100670,0.124,0.0129,0.472,0.0318,0.00963,0.0936
ENSDARG00000100673,0.0429,0.169,0.393,0.0395,0.13,0.0751
ENSDARG00000100674,0.8,0.147,0.689,0.705,0.133,0.114
ENSDARG00000100677,2.06,0.249,0.494,0.862,0.0863,0.0879
ENSDARG00000100679,0.652,0.167,0.676,0.335,0.0635,0.112
ENSDARG00000100686,0.114,0.142,0.605,0.096,0.108,0.1
ENSDARG00000100690,0.349,0.0248,0.46,0.0849,0.0137,0.0838
ENSDARG00000100691,0.464,0.0189,0.759,0.151,0.0147,0.14
ENSDARG00000100693,0.12,0.0462,0.327,0.07,0.0397,0.0636
ENSDARG00000100694,0.186,0.25,0.703,0.174,0.299,0.122
ENSDARG00000100698,0.226,0.0607,0.378,0.0679,0.0284,0.0688
ENSDARG00000100700,0.152,0.117,0.566,0.0835,0.0372,0.0976
ENSDARG00000100702,0.657,0.181,0.673,0.267,0.084,0.117
ENSDARG00000100703,0.527,0.347,1.12,0.511,0.425,0.183
ENSDARG00000100708,0.0506,0.00962,0.256,0.0131,0.00856,0.0587
ENSDARG00000100709,0.284,0.028,0.573,0.182,0.0382,0.116
ENSDARG00000100712,0.866,0.0216,0.889,0.288,0.0169,0.156
ENSDARG00000100715,2.35,0.0906,0.593,2.29,0.0754,0.0996
ENSDARG00000100716,0.0613,0.0351,0.244,0.0204,0.0212,0.0486
ENSDARG00000100717,1.39,0.167,0.386,0.675,0.0975,0.0688
ENSDARG00000100718,3.65,0.178,0.82,3.24,0.176,0.134
ENSDARG00000100719,0.969,0.0308,0.965,0.329,0.0198,0.162
ENSDARG00000100722,0.0848,0.0346,0.586,0.0788,0.0843,0.126
ENSDARG00000100723,0.786,0.256,0.927,0.449,0.145,0.163
ENSDARG00000100725,2.79,0.135,0.756,2.69,0.136,0.125
ENSDARG00000100728,0.0163,0.0384,0.161,0.0166,0.079,0.0422
ENSDARG00000100729,1.77,0.1,0.358,0.929,0.0656,0.0648
ENSDARG00000100731,0.11,0.013,0.33,0.0268,0.011,0.0689
ENSDARG00000100737,0.0391,0.0484,0.151,0.0121,0.0226,0.0318
ENSDARG00000100739,0.338,0.0306,0.401,0.0802,0.015,0.0729
ENSDARG00000100741,7.38,0.191,0.568,3.09,0.0352,0.0997
ENSDARG00000100742,7.46,0.086,0.697,3.86,0.0649,0.116
ENSDARG00000100743,0.0504,0.0783,0.184,0.024,0.0534,0.0365
ENSDARG00000100747,0.161,0.0947,0.553,0.132,0.118,0.101
ENSDARG00000100751,0.194,0.192,0.549,0.185,0.213,0.096
ENSDARG00000100752,10.2,0.289,0.422,7.3,0.208,0.0801
ENSDARG00000100753,0.575,0.021,0.528,0.145,0.0119,0.0961
ENSDARG00000100757,0.246,0.0505,0.562,0.0743,0.0236,0.0964
ENSDARG00000100764,0.284,0.309,0.449,0.216,0.257,0.0798
ENSDARG00000100766,15.0,0.495,0.438,4.85,0.172,0.082
ENSDARG00000100769,1.35,0.14,0.608,1.36,0.159,0.103
ENSDARG00000100771,0.0283,0.149,0.333,0.0252,0.148,0.0654
ENSDARG00000100772,0.115,0.105,0.529,0.111,0.147,0.1
ENSDARG00000100773,1.09,0.107,0.425,0.404,0.0206,0.0753
ENSDARG00000100774,0.361,0.0432,0.339,0.0725,0.0153,0.062
ENSDARG00000100780,0.0237,0.0676,0.203,0.0211,0.102,0.0461
ENSDARG00000100781,0.0301,0.0269,0.281,0.019,0.0444,0.064
ENSDARG00000100782,0.0476,0.0134,0.223,0.01,0.00747,0.0478
ENSDARG00000100788,0.491,0.158,0.342,0.132,0.0245,0.0632
ENSDARG00000100789,6.79,0.207,0.508,5.73,0.189,0.0891
ENSDARG00000100791,0.196,0.0539,0.514,0.107,0.0443,0.0904
ENSDARG00000100792,0.214,0.153,0.819,0.232,0.252,0.152
ENSDARG00000100793,0.0326,0.133,0.479,0.0392,0.128,0.0937
ENSDARG00000100794,0.0293,0.179,0.216,0.0239,0.165,0.0418
ENSDARG00000100795,0.151,0.216,0.701,0.149,0.302,0.126
ENSDARG00000100797,0.0996,0.0307,0.38,0.0484,0.0271,0.0753
ENSDARG00000100799,0.161,0.0768,0.274,0.0453,0.0301,0.0511
ENSDARG00000100803,1.8,0.393,0.563,0.729,0.169,0.107
ENSDARG00000100804,0.236,0.262,0.514,0.104,0.0585,0.0904
ENSDARG00000100805,0.311,0.0739,0.421,0.16,0.0551,0.0753
ENSDARG00000100807,0.901,0.214,0.754,0.389,0.104,0.126
ENSDARG00000100808,1.52,0.413,0.746,0.763,0.205,0.138
ENSDARG00000100810,0.192,0.133,0.4,0.166,0.117,0.0699
ENSDARG00000100813,2.95,0.197,0.462,0.865,0.0689,0.0821
ENSDARG00000100815,0.48,0.751,0.784,0.339,0.347,0.134
ENSDARG00000100818,0.0253,0.183,0.212,0.0213,0.206,0.0415
ENSDARG00000100821,0.356,0.0272,0.88,0.133,0.0217,0.152
ENSDARG00000100822,0.226,0.119,0.519,0.0936,0.06,0.0896
ENSDARG00000100823,36.0,0.482,0.209,16.3,0.208,0.0444
ENSDARG00000100825,29.2,0.556,0.739,12.1,0.194,0.126
ENSDARG00000100826,18.4,0.149,0.425,8.95,0.08,0.0759
ENSDARG00000100828,0.0136,0.115,0.352,0.0142,0.0424,0.0622
ENSDARG00000100829,0.244,0.0773,0.814,0.103,0.0428,0.134
ENSDARG00000100833,0.556,0.054,2.24,0.4,0.0415,0.366
ENSDARG00000100839,0.0975,0.104,0.398,0.041,0.0502,0.0727
ENSDARG00000100842,1.25,0.193,1.14,0.664,0.107,0.198
ENSDARG00000100844,0.112,0.0465,0.668,0.109,0.107,0.141
ENSDARG00000100847,0.327,0.163,0.678,0.301,0.158,0.112
ENSDARG00000100850,2.43,0.428,0.605,0.707,0.0706,0.104
ENSDARG00000100851,0.213,0.0188,0.662,0.123,0.0348,0.133
ENSDARG00000100854,5.11,0.28,0.397,1.11,0.0391,0.0718
ENSDARG00000100862,0.383,0.227,0.689,0.239,0.165,0.114
ENSDARG00000100867,0.385,0.128,0.613,0.346,0.104,0.101
ENSDARG00000100869,0.543,0.186,0.846,0.328,0.0823,0.137
ENSDARG00000100872,1.52,0.387,0.296,0.299,0.0478,0.0571
ENSDARG00000100875,2.17,0.577,0.563,1.09,0.29,0.11
ENSDARG00000100876,0.038,0.022,0.363,0.0241,0.0505,0.0808
ENSDARG00000100882,0.789,0.481,0.397,0.361,0.225,0.0769
ENSDARG00000100883,0.947,0.281,0.338,0.266,0.0894,0.0638
ENSDARG00000100886,0.275,0.192,0.382,0.154,0.123,0.071
ENSDARG00000100887,0.0985,0.228,0.252,0.0753,0.184,0.0478
ENSDARG00000100889,0.147,0.187,0.693,0.102,0.0901,0.117
ENSDARG00000100892,0.356,0.205,0.341,0.14,0.0924,0.0635
ENSDARG00000100896,1.29,0.32,0.788,0.675,0.168,0.146
ENSDARG00000100897,0.0935,0.0106,0.266,0.0173,0.00629,0.0567
ENSDARG00000100900,0.0474,0.104,0.204,0.025,0.0739,0.039
ENSDARG00000100904,0.385,0.147,0.744,0.35,0.115,0.122
ENSDARG00000100906,0.0056,0.0346,0.546,0.00611,0.0191,0.0957
ENSDARG00000100908,0.448,0.181,0.679,0.25,0.0782,0.112
ENSDARG00000100909,0.214,0.257,0.39,0.0807,0.0509,0.07
ENSDARG00000100912,0.0587,0.15,0.266,0.028,0.0361,0.0508
ENSDARG00000100913,1.26,0.117,0.425,0.739,0.0764,0.0751
ENSDARG00000100915,3.14,0.211,0.666,1.4,0.105,0.115
ENSDARG00000100916,1.96,0.465,0.478,0.663,0.127,0.0892
ENSDARG00000100917,0.532,0.188,0.795,0.266,0.105,0.134
ENSDARG00000100918,0.209,0.0518,0.517,0.118,0.00953,0.0899
ENSDARG00000100919,0.409,0.198,0.531,0.203,0.119,0.0905
ENSDARG00000100925,1.06,0.125,0.621,0.371,0.059,0.105
ENSDARG00000100927,0.087,0.153,0.398,0.0747,0.114,0.0713
ENSDARG00000100938,10.9,0.468,0.352,6.83,0.317,0.0716
ENSDARG00000100940,0.0958,0.0187,0.293,0.0207,0.00916,0.0572
ENSDARG00000100944,1.11,0.113,0.363,0.322,0.044,0.0653
ENSDARG00000100946,2.07,0.37,0.708,1.36,0.251,0.126
ENSDARG00000100947,0.564,0.342,0.416,0.378,0.233,0.0785
ENSDARG00000100948,0.0155,0.453,0.124,0.0128,0.0769,0.027
ENSDARG00000100949,0.0337,0.0472,0.23,0.0174,0.0436,0.0471
ENSDARG00000100952,1.39,0.0193,1.02,0.49,0.0148,0.182
ENSDARG00000100954,2.71,0.134,0.356,0.505,0.0329,0.0648
ENSDARG00000100955,0.166,0.173,0.754,0.18,0.27,0.141
ENSDARG00000100956,0.162,0.233,0.537,0.128,0.213,0.0909
ENSDARG00000100958,0.172,0.104,0.351,0.126,0.105,0.0652
ENSDARG00000100959,0.524,0.388,0.521,0.296,0.212,0.105
ENSDARG00000100961,0.594,0.242,0.778,0.303,0.127,0.139
ENSDARG00000100962,0.59,0.155,0.562,0.345,0.0756,0.0944
ENSDARG00000100964,0.0616,0.119,0.334,0.0381,0.0787,0.0614
ENSDARG00000100965,11.0,0.335,0.61,7.48,0.222,0.118
ENSDARG00000100968,0.311,0.0305,0.831,0.117,0.0245,0.145
ENSDARG00000100969,0.0638,0.0119,0.336,0.0191,0.0114,0.0743
ENSDARG00000100971,0.256,0.0934,0.954,0.327,0.203,0.19
ENSDARG00000100973,0.812,0.137,0.658,0.545,0.0784,0.11
ENSDARG00000100977,8.05,0.326,0.41,3.99,0.149,0.0774
ENSDARG00000100979,0.0218,0.0944,0.552,0.0173,0.0154,0.093
ENSDARG00000100981,0.155,0.0195,0.355,0.0345,0.01,0.0685
ENSDARG00000100986,0.0229,0.0263,0.194,0.0119,0.0333,0.0442
ENSDARG00000100990,5.21,0.0973,0.704,1.44,0.0375,0.116
ENSDARG00000100991,0.0327,0.0117,0.197,0.007,0.00728,0.0438
ENSDARG00000100995,0.535,0.311,0.706,0.337,0.179,0.141
ENSDARG00000100996,0.157,0.221,0.371,0.0813,0.125,0.0688
ENSDARG00000101008,12.1,0.515,0.746,6.91,0.301,0.139
ENSDARG00000101009,27.5,0.296,0.884,14.0,0.156,0.159
ENSDARG00000101010,0.297,0.171,0.619,0.169,0.0717,0.105
ENSDARG00000101018,1.65,0.171,0.315,0.607,0.0446,0.0585
ENSDARG00000101019,0.381,0.111,0.922,0.366,0.0869,0.146
ENSDARG00000101020,0.269,0.0624,0.635,0.296,0.107,0.125
ENSDARG00000101021,0.807,0.221,1.53,0.553,0.161,0.236
ENSDARG00000101023,0.463,0.0374,0.626,0.134,0.0195,0.107
ENSDARG00000101024,0.96,0.0638,0.881,0.992,0.0473,0.14
ENSDARG00000101026,0.0881,0.0733,0.547,0.0907,0.133,0.113
ENSDARG00000101028,0.629,0.224,0.702,0.344,0.0974,0.116
ENSDARG00000101029,2.87,0.295,0.831,1.62,0.165,0.153
ENSDARG00000101030,0.0298,0.0137,0.167,0.00661,0.00801,0.0382
ENSDARG00000101032,1.38,0.204,0.59,0.821,0.121,0.108
ENSDARG00000101034,0.179,0.136,0.659,0.142,0.0838,0.11
ENSDARG00000101036,0.411,0.178,0.426,0.258,0.102,0.0756
ENSDARG00000101037,14.3,0.478,0.639,5.37,0.125,0.124
ENSDARG00000101039,0.0267,0.0641,0.284,0.0157,0.0176,0.0524
ENSDARG00000101043,8.77,0.122,0.668,2.93,0.0543,0.113
ENSDARG00000101044,8.32,0.352,0.523,4.76,0.201,0.102
ENSDARG00000101046,0.0169,0.189,0.354,0.0161,0.198,0.062
ENSDARG00000101047,1.5,0.053,0.324,0.226,0.0133,0.0601
ENSDARG00000101049,0.0476,0.16,0.201,0.0329,0.135,0.0386
ENSDARG00000101054,0.196,0.0245,0.798,0.131,0.0548,0.163
ENSDARG00000101056,0.0469,0.0547,0.142,0.0122,0.0204,0.0299
ENSDARG00000101057,0.841,0.28,0.683,0.628,0.221,0.113
ENSDARG00000101059,1.96,0.423,0.639,0.951,0.19,0.113
ENSDARG00000101060,2.16,0.302,0.73,1.21,0.0912,0.132
ENSDARG00000101061,10.2,0.189,0.571,2.83,0.065,0.0997
ENSDARG00000101062,1.01,0.201,0.744,0.585,0.0967,0.122
ENSDARG00000101063,10.2,0.408,0.593,4.19,0.145,0.106
ENSDARG00000101072,0.574,0.296,0.49,0.202,0.0625,0.0856
ENSDARG00000101073,0.613,0.269,0.547,0.439,0.197,0.0967
ENSDARG00000101074,26.6,0.168,0.765,24.2,0.17,0.127
ENSDARG00000101076,2.88,0.0592,0.647,0.816,0.0255,0.11
ENSDARG00000101077,0.0221,0.0897,0.228,0.0212,0.142,0.0516
ENSDARG00000101079,0.0434,0.0106,0.134,0.00691,0.00493,0.031
ENSDARG00000101080,2.16,0.183,0.39,0.872,0.0594,0.0704
ENSDARG00000101081,0.339,0.0944,0.512,0.361,0.126,0.0959
ENSDARG00000101082,28.3,0.121,0.607,8.32,0.0462,0.103
ENSDARG00000101083,0.00352,0.152,0.463,0.00484,0.192,0.0765
ENSDARG00000101085,3.93,0.193,0.554,1.18,0.0709,0.0953
ENSDARG00000101087,0.121,0.144,0.502,0.121,0.135,0.0879
ENSDARG00000101088,0.0496,0.0263,0.321,0.0283,0.0369,0.0695
ENSDARG00000101089,2.52,0.109,0.695,1.14,0.0569,0.115
ENSDARG00000101093,1.93,0.494,0.485,1.12,0.283,0.0987
ENSDARG00000101094,8.21,0.612,0.4,2.18,0.131,0.0744
ENSDARG00000101095,0.102,0.0116,0.383,0.0291,0.013,0.0792
ENSDARG00000101096,0.219,0.244,0.247,0.117,0.118,0.0479
ENSDARG00000101098,0.221,0.0179,0.541,0.0939,0.0201,0.109
ENSDARG00000101102,0.261,0.0969,0.428,0.148,0.0779,0.0749
ENSDARG00000101104,0.0595,0.0726,0.235,0.041,0.0343,0.0457
ENSDARG00000101106,1.55,0.556,0.336,0.788,0.29,0.0718
ENSDARG00000101109,0.0417,0.106,0.356,0.0408,0.167,0.0748
ENSDARG00000101110,3.24,0.339,0.944,2.23,0.245,0.162
ENSDARG00000101112,0.258,0.0958,0.609,0.223,0.0649,0.102
ENSDARG00000101115,0.336,0.0224,0.498,0.125,0.0196,0.0969
ENSDARG00000101116,5.62,0.579,0.304,1.95,0.216,0.0616
ENSDARG00000101118,4.09,0.387,0.433,1.54,0.126,0.08
ENSDARG00000101120,0.732,0.216,0.547,0.281,0.0581,0.0948
ENSDARG00000101126,0.0726,0.0746,0.511,0.0552,0.0228,0.0886
ENSDARG00000101127,53.7,0.399,0.495,19.0,0.153,0.092
ENSDARG00000101128,0.452,0.0316,1.06,0.288,0.0514,0.2
ENSDARG00000101130,1.15,0.165,0.666,1.06,0.141,0.113
ENSDARG00000101131,0.094,0.0173,0.325,0.0309,0.0139,0.0667
ENSDARG00000101134,0.326,0.242,0.266,0.11,0.0927,0.0509
ENSDARG00000101135,2.49,0.24,1.5,1.58,0.179,0.235
ENSDARG00000101137,2.13,0.174,1.31,1.08,0.0992,0.212
ENSDARG00000101139,4.48,0.309,0.588,2.63,0.189,0.105
ENSDARG00000101143,2.46,0.326,0.692,1.86,0.248,0.124
ENSDARG00000101144,0.959,0.0812,0.507,0.491,0.0287,0.0871
ENSDARG00000101145,0.314,0.175,0.508,0.294,0.153,0.0881
ENSDARG00000101146,0.041,0.0588,0.261,0.0166,0.0363,0.0501
ENSDARG00000101150,0.133,0.0849,0.314,0.0761,0.0706,0.0585
ENSDARG00000101155,0.057,0.256,0.385,0.0512,0.241,0.0693
ENSDARG00000101159,0.0942,0.0661,0.416,0.0789,0.0913,0.0817
ENSDARG00000101160,0.64,0.0505,1.02,0.25,0.0311,0.163
ENSDARG00000101161,1.29,0.0638,0.547,1.72,0.0576,0.0947
ENSDARG00000101164,0.371,0.0632,0.68,0.136,0.0338,0.114
ENSDARG00000101169,0.0432,0.0114,0.251,0.00979,0.0078,0.056
ENSDARG00000101170,1.12,0.316,0.924,0.819,0.228,0.165
ENSDARG00000101171,0.326,0.0632,0.414,0.12,0.0362,0.0733
ENSDARG00000101172,0.143,0.153,0.446,0.109,0.148,0.0779
ENSDARG00000101175,0.539,0.124,1.11,0.512,0.0933,0.173
ENSDARG00000101176,0.405,0.173,0.86,0.226,0.116,0.141
ENSDARG00000101178,0.444,0.341,0.637,0.345,0.271,0.112
ENSDARG00000101180,2.9,0.03,0.297,1.4,0.00593,0.0576
ENSDARG00000101181,0.612,0.021,0.886,0.209,0.018,0.155
ENSDARG00000101185,0.381,0.0446,0.264,0.0561,0.011,0.0501
ENSDARG00000101186,0.163,0.258,0.392,0.116,0.17,0.0701
ENSDARG00000101188,0.244,0.231,0.382,0.178,0.198,0.0683
ENSDARG00000101189,0.129,0.0992,0.31,0.0428,0.0422,0.0571
ENSDARG00000101190,0.747,0.178,0.825,0.357,0.0998,0.135
ENSDARG00000101191,0.162,0.0838,0.635,0.166,0.0712,0.106
ENSDARG00000101193,0.969,0.25,0.423,0.321,0.0947,0.0768
ENSDARG00000101195,0.0826,0.0118,0.363,0.022,0.0108,0.0759
ENSDARG00000101197,0.00517,0.142,2.07,0.00805,0.184,0.301
ENSDARG00000101199,6.5,0.0534,1.77,6.14,0.105,0.332
ENSDARG00000101200,0.42,0.0341,0.873,0.15,0.0225,0.147
ENSDARG00000101202,0.274,0.178,0.909,0.195,0.112,0.168
ENSDARG00000101203,0.121,0.115,0.577,0.0725,0.0394,0.0986
ENSDARG00000101205,0.476,0.0821,0.244,0.137,0.0156,0.0472
ENSDARG00000101206,0.114,0.0548,0.33,0.0312,0.0219,0.0597
ENSDARG00000101209,4.3,0.1,1.13,1.72,0.0552,0.179
ENSDARG00000101210,0.232,0.118,0.369,0.199,0.0933,0.0663
ENSDARG00000101215,0.442,0.162,0.635,0.427,0.168,0.108
ENSDARG00000101216,7.43,0.104,0.257,2.02,0.0178,0.0493
ENSDARG00000101217,0.486,0.163,0.735,0.43,0.145,0.122
ENSDARG00000101218,0.0908,0.0996,0.356,0.0795,0.119,0.0664
ENSDARG00000101220,1.33,0.272,0.742,0.922,0.192,0.132
ENSDARG00000101222,0.964,0.081,0.64,0.974,0.069,0.107
ENSDARG00000101223,0.0424,0.146,0.546,0.046,0.132,0.1
ENSDARG00000101225,0.016,0.0302,0.193,0.0129,0.0645,0.0515
ENSDARG00000101232,0.0463,0.0194,0.256,0.014,0.0141,0.0536
ENSDARG00000101234,0.591,0.344,0.698,0.265,0.0945,0.118
ENSDARG00000101236,0.612,0.164,0.505,0.268,0.0456,0.0872
ENSDARG00000101239,1.47,0.129,0.814,1.48,0.162,0.138
ENSDARG00000101240,0.088,0.0166,0.509,0.0395,0.025,0.105
ENSDARG00000101242,0.19,0.162,0.615,0.171,0.15,0.104
ENSDARG00000101244,1.03,0.141,0.519,0.297,0.0509,0.091
ENSDARG00000101245,0.978,0.166,1.71,0.714,0.109,0.29
ENSDARG00000101249,0.0532,0.0852,0.492,0.0613,0.0716,0.0853
ENSDARG00000101251,4.31,0.043,0.886,2.79,0.0598,0.158
ENSDARG00000101256,6.75,0.395,0.318,2.26,0.143,0.0612
ENSDARG00000101259,4.12,0.254,0.58,1.51,0.107,0.102
ENSDARG00000101260,0.96,0.0875,0.636,0.88,0.0663,0.106
ENSDARG00000101264,0.0397,0.0156,0.335,0.0183,0.0265,0.0747
ENSDARG00000101270,2.35,0.54,0.422,0.523,0.073,0.076
ENSDARG00000101271,0.252,0.0929,0.562,0.141,0.0226,0.0969
ENSDARG00000101277,5.58,0.111,0.526,2.92,0.0624,0.0921
ENSDARG00000101279,0.0688,0.139,1.33,0.0812,0.139,0.205
ENSDARG00000101280,0.198,0.133,0.28,0.0691,0.0601,0.0522
ENSDARG00000101281,0.135,0.0528,0.309,0.0357,0.0204,0.0571
ENSDARG00000101282,0.317,0.0398,0.468,0.155,0.0297,0.0858
ENSDARG00000101285,33.0,1.11,0.269,7.14,0.211,0.054
ENSDARG00000101289,6.68,0.187,0.44,5.0,0.143,0.0796
ENSDARG00000101291,2.44,0.309,0.356,0.727,0.0688,0.0671
ENSDARG00000101292,0.309,0.217,0.799,0.222,0.139,0.15
ENSDARG00000101293,0.955,0.125,0.549,0.882,0.106,0.0922
ENSDARG00000101295,8.86,0.139,0.32,1.59,0.0332,0.0591
ENSDARG00000101296,0.0465,0.182,0.585,0.0445,0.157,0.0986
ENSDARG00000101297,0.436,0.175,0.932,0.336,0.103,0.149
ENSDARG00000101300,13.2,1.17,0.508,3.62,0.247,0.0968
ENSDARG00000101306,6.68,0.133,0.264,3.79,0.0787,0.0498
ENSDARG00000101307,0.0283,0.011,0.193,0.00652,0.00789,0.0443
ENSDARG00000101308,2.21,0.315,0.238,1.03,0.155,0.0489
ENSDARG00000101309,3.66,0.244,0.254,0.729,0.0334,0.0489
ENSDARG00000101312,0.187,0.0965,0.253,0.0527,0.0365,0.0476
ENSDARG00000101316,2.08,0.152,0.329,0.51,0.0216,0.0611
ENSDARG00000101317,1.72,0.375,0.587,0.893,0.177,0.101
ENSDARG00000101318,0.195,0.0143,0.619,0.0729,0.0217,0.122
ENSDARG00000101319,2.88,0.338,0.308,0.658,0.088,0.0572
ENSDARG00000101320,0.683,0.222,0.653,0.314,0.117,0.114
ENSDARG00000101322,0.287,0.0654,0.565,0.162,0.0527,0.0984
ENSDARG00000101323,2.72,0.177,0.644,1.32,0.0932,0.112
ENSDARG00000101324,90.1,0.0399,1.77,50.7,0.0411,0.287
ENSDARG00000101327,0.128,0.198,0.417,0.0818,0.119,0.0804
ENSDARG00000101331,0.0542,0.0413,0.203,0.0141,0.0167,0.0403
ENSDARG00000101332,9.62,0.102,0.738,9.86,0.0907,0.125
ENSDARG00000101334,1.38,0.085,0.72,0.624,0.0149,0.119
ENSDARG00000101338,0.0388,0.0109,0.224,0.00793,0.00662,0.0494
ENSDARG00000101340,0.0295,0.428,0.265,0.0246,0.0301,0.0497
ENSDARG00000101341,3.08,0.204,0.455,1.11,0.0513,0.0804
ENSDARG00000101347,8.6,0.203,0.694,2.89,0.081,0.118
ENSDARG00000101348,0.333,0.312,0.576,0.262,0.27,0.0965
ENSDARG00000101350,0.998,0.188,0.807,0.614,0.0931,0.136
ENSDARG00000101358,0.173,0.142,0.745,0.164,0.11,0.122
ENSDARG00000101361,1.61,0.126,0.597,1.56,0.111,0.1
ENSDARG00000101362,0.993,0.0261,0.244,0.524,0.00443,0.0494
ENSDARG00000101363,0.0472,0.0197,0.388,0.0274,0.037,0.0873
ENSDARG00000101364,0.0286,0.0985,1.0,0.0365,0.121,0.18
ENSDARG00000101365,1.53,0.459,0.583,0.754,0.235,0.112
ENSDARG00000101366,0.764,0.152,0.36,0.19,0.0475,0.0662
ENSDARG00000101367,0.032,0.0315,0.333,0.028,0.0708,0.078
ENSDARG00000101368,0.31,0.16,1.01,0.389,0.298,0.195
ENSDARG00000101369,3.1,0.12,0.497,2.53,0.104,0.0869
ENSDARG00000101377,0.592,0.146,0.52,0.47,0.124,0.0896
ENSDARG00000101378,0.288,0.0877,0.427,0.209,0.0845,0.0758
ENSDARG00000101379,1.2,0.546,0.426,0.462,0.176,0.0782
ENSDARG00000101380,0.0308,0.0679,0.235,0.0275,0.096,0.0517
ENSDARG00000101382,1.03,0.211,0.777,0.47,0.107,0.134
ENSDARG00000101385,0.0249,0.0371,0.208,0.023,0.0669,0.0489
ENSDARG00000101387,0.281,0.023,0.738,0.15,0.0362,0.146
ENSDARG00000101388,0.054,0.0491,0.236,0.029,0.0451,0.0484
ENSDARG00000101393,0.885,0.0313,1.08,0.39,0.0277,0.186
ENSDARG00000101404,1.01,0.067,0.809,0.858,0.0402,0.132
ENSDARG00000101405,0.0373,0.0219,0.322,0.0212,0.037,0.0744
ENSDARG00000101406,39.6,0.0285,0.776,12.2,0.0179,0.134
ENSDARG00000101407,0.497,0.0807,0.944,0.204,0.0428,0.15
ENSDARG00000101411,21.4,0.34,0.663,11.0,0.18,0.125
ENSDARG00000101413,0.884,0.0616,0.454,0.679,0.0635,0.0832
ENSDARG00000101419,0.0493,0.229,0.328,0.0441,0.194,0.0601
ENSDARG00000101421,0.0479,0.0868,0.213,0.0308,0.0781,0.0422
ENSDARG00000101422,1.92,0.432,0.396,0.744,0.144,0.0759
ENSDARG00000101423,5.61,0.117,0.808,2.04,0.0582,0.132
ENSDARG00000101425,0.225,0.13,0.339,0.204,0.111,0.0617
ENSDARG00000101431,1.08,0.0884,0.387,0.925,0.0665,0.0694
ENSDARG00000101432,0.363,0.16,0.639,0.342,0.145,0.107
ENSDARG00000101434,0.124,0.0652,0.266,0.0402,0.0303,0.0507
