GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000112171,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112174,0.294,1.61,0.09,0.581,3.16,0.109,0.865,0.0398,0.104,1.69
ENSDARG00000112175,0.351,1.12,0.0998,1.35,1.59,0.184,0.651,0.0642,0.232,1.33
ENSDARG00000112177,0.198,1.45,0.196,0.377,1.45,0.0848,0.0687,0.0797,0.0268,0.746
ENSDARG00000112178,0.614,1.77,0.157,0.321,1.75,0.186,0.434,0.0527,0.0655,1.1
ENSDARG00000112179,0.0329,1.36,0.11,0.299,3.35,0.0146,0.709,0.0879,0.054,3.33
ENSDARG00000112187,0.331,0.751,0.183,0.814,2.1,0.167,0.449,0.11,0.146,2.47
ENSDARG00000112188,0.312,1.57,0.0905,0.458,2.74,0.142,0.806,0.0581,0.0842,2.32
ENSDARG00000112191,0.289,1.43,0.144,0.715,1.64,0.13,0.746,0.0868,0.121,1.71
ENSDARG00000112192,0.231,1.59,0.0764,0.153,16.9,0.0796,0.855,0.0323,0.0329,1.57
ENSDARG00000112193,2.02,0.585,0.133,0.486,2.32,0.827,0.161,0.0608,0.0899,1.67
ENSDARG00000112195,2.59,1.57,0.184,0.828,1.71,1.15,0.846,0.0894,0.155,0.75
ENSDARG00000112196,0.0802,1.44,0.199,0.226,4.23,0.0393,0.147,0.109,0.0401,2.15
ENSDARG00000112198,3.49,1.49,0.226,0.898,0.943,1.53,0.0709,0.0812,0.319,1.06
ENSDARG00000112201,0.903,1.52,0.217,0.439,0.778,0.309,0.819,0.0818,0.0957,0.422
ENSDARG00000112203,2.7,0.478,0.101,0.788,2.67,1.12,0.136,0.0473,0.14,2.11
ENSDARG00000112205,0.563,1.55,0.169,0.892,3.17,0.367,0.0801,0.116,0.208,2.28
ENSDARG00000112213,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112216,0.58,1.36,0.119,0.659,6.71,0.3,0.665,0.0896,0.115,4.91
ENSDARG00000112218,2.15,1.58,0.078,0.48,1.33,0.545,0.821,0.0286,0.0859,0.549
ENSDARG00000112222,0.181,1.54,0.0802,0.358,23.8,0.103,0.0829,0.0167,0.118,23.5
ENSDARG00000112223,0.00333,1.56,0.126,0.42,4.32,0.0011,0.0694,0.0422,0.0432,2.76
ENSDARG00000112227,0.455,1.6,0.127,0.572,1.62,0.212,0.826,0.0853,0.0997,1.71
ENSDARG00000112231,0.476,1.57,0.154,0.621,5.97,0.272,0.842,0.119,0.107,5.36
ENSDARG00000112234,1.52,1.53,0.0582,0.344,1.59,0.393,0.788,0.0233,0.0674,0.725
ENSDARG00000112238,0.0635,1.5,0.157,0.285,3.28,0.0285,0.797,0.1,0.0525,3.17
ENSDARG00000112239,0.928,1.66,0.264,0.3,0.73,0.307,0.875,0.0996,0.0615,0.376
ENSDARG00000112240,4.04,1.28,0.409,0.549,0.5,2.38,0.842,0.262,0.137,0.413
ENSDARG00000112241,0.0966,1.45,0.129,0.473,2.34,0.0427,0.72,0.0807,0.0822,2.24
ENSDARG00000112243,0.445,1.15,0.364,0.571,1.12,0.193,0.766,0.269,0.0943,0.823
ENSDARG00000112244,0.46,1.33,0.11,1.11,1.32,0.221,0.732,0.0622,0.197,1.01
ENSDARG00000112245,0.182,1.74,0.159,0.545,3.38,0.0809,0.915,0.0941,0.0938,2.46
ENSDARG00000112246,0.0283,1.72,0.139,0.376,3.5,0.0136,0.136,0.127,0.0665,3.94
ENSDARG00000112247,0.505,1.11,0.152,0.443,1.15,0.189,0.527,0.0647,0.085,0.785
ENSDARG00000112248,0.267,0.386,0.128,0.459,2.77,0.12,0.112,0.0631,0.0878,2.16
ENSDARG00000112252,0.0159,1.36,0.181,0.277,3.34,0.00812,0.746,0.172,0.0501,4.47
ENSDARG00000112256,0.232,1.39,0.0469,0.21,20.8,0.0933,0.741,0.0256,0.0466,2.81
ENSDARG00000112259,0.344,1.56,0.104,0.245,46.8,0.162,0.833,0.0543,0.0493,6.5
ENSDARG00000112262,0.092,1.48,0.133,0.646,2.3,0.0344,0.0301,0.0654,0.0854,1.72
ENSDARG00000112263,1.29,1.63,0.233,0.221,15.7,0.323,0.0403,0.0715,0.0599,0.407
ENSDARG00000112264,0.234,1.29,0.433,0.609,18.6,0.0998,0.721,0.381,0.104,20.8
ENSDARG00000112267,0.385,1.49,0.132,0.932,1.96,0.184,0.782,0.0917,0.153,2.56
ENSDARG00000112268,2.6,1.02,0.0832,0.435,2.83,1.12,0.441,0.0506,0.0826,1.75
ENSDARG00000112269,0.498,1.51,0.161,0.995,0.933,0.37,0.0889,0.109,0.187,0.81
ENSDARG00000112270,0.241,1.71,0.0887,0.19,24.6,0.152,0.0778,0.0762,0.0256,4.18
ENSDARG00000112271,0.108,0.882,0.244,0.648,3.05,0.0493,0.404,0.319,0.109,3.57
ENSDARG00000112272,0.129,1.56,0.113,0.204,10.8,0.058,0.831,0.0562,0.0438,3.87
ENSDARG00000112275,2.88,0.251,0.094,1.83,3.69,1.74,0.272,0.096,0.515,4.12
ENSDARG00000112281,0.346,1.47,0.298,1.41,5.03,0.0917,0.0912,0.168,0.0935,6.78
ENSDARG00000112285,0.056,1.44,0.28,0.334,8.23,0.0154,0.109,0.235,0.0731,10.4
ENSDARG00000112287,3.43,1.54,0.0529,0.194,51.4,0.532,0.0855,0.0241,0.179,27.4
ENSDARG00000112290,0.0495,1.28,0.435,0.441,2.94,0.0201,0.745,0.48,0.0656,3.47
ENSDARG00000112291,0.525,1.43,0.115,0.317,5.58,0.201,0.757,0.0478,0.0647,1.75
ENSDARG00000112293,0.139,1.51,0.124,0.981,1.96,0.0719,0.832,0.0927,0.162,1.87
ENSDARG00000112294,0.27,1.53,0.0947,0.216,1.58,0.0625,0.815,0.0273,0.0431,0.704
ENSDARG00000112297,0.0462,0.528,0.6,0.626,7.96,0.0204,0.23,0.421,0.0826,5.14
ENSDARG00000112301,0.205,1.35,0.218,0.405,1.32,0.0529,0.241,0.0783,0.0554,0.752
ENSDARG00000112305,0.216,1.48,0.183,0.243,3.88,0.108,0.0588,0.105,0.0563,1.68
ENSDARG00000112309,0.501,3.22,0.136,0.811,2.68,0.216,1.48,0.0829,0.145,1.79
ENSDARG00000112310,0.116,1.62,0.0801,0.427,10.0,0.0432,0.156,0.0482,0.143,7.17
ENSDARG00000112314,0.591,1.56,0.0753,0.353,56.3,0.287,0.819,0.0511,0.0681,9.19
ENSDARG00000112316,2.02,0.929,0.526,0.482,0.728,1.46,0.412,0.533,0.0924,0.618
ENSDARG00000112317,0.108,0.894,0.63,0.421,4.68,0.0467,0.264,0.484,0.0884,5.77
ENSDARG00000112318,15.6,1.29,0.0594,0.246,23.7,4.0,0.693,0.0224,0.0514,0.13
ENSDARG00000112325,0.131,1.87,0.181,0.46,9.31,0.0658,0.734,0.144,0.0798,9.84
ENSDARG00000112327,0.138,1.55,0.0711,0.362,18.9,0.0498,0.0906,0.0447,0.124,16.1
ENSDARG00000112328,31.4,1.35,0.0507,0.423,29.3,11.9,0.782,0.0298,0.083,0.445
ENSDARG00000112335,1.9,0.241,0.161,0.237,2.97,0.734,0.067,0.0629,0.0544,1.92
ENSDARG00000112336,0.368,1.58,0.166,0.588,0.999,0.15,0.833,0.0768,0.115,0.679
ENSDARG00000112337,0.132,1.04,1.04,0.559,1.35,0.0398,0.523,0.544,0.0643,2.98
ENSDARG00000112339,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112340,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112341,0.243,1.55,0.0929,0.239,11.8,0.067,0.0299,0.0361,0.0596,3.01
ENSDARG00000112342,0.306,0.823,0.474,0.379,1.98,0.216,0.418,0.491,0.0676,3.25
ENSDARG00000112343,0.05,1.62,0.164,0.265,6.14,0.0238,0.863,0.122,0.0503,5.99
ENSDARG00000112348,0.106,1.61,0.0732,0.168,23.7,0.0316,0.142,0.0341,0.177,12.0
ENSDARG00000112349,0.338,1.52,0.0902,0.399,27.1,0.133,0.0354,0.0379,0.188,21.5
ENSDARG00000112351,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112355,0.203,1.54,0.0957,0.309,6.97,0.0483,0.0531,0.0522,0.0487,3.75
ENSDARG00000112358,0.556,1.21,0.176,0.571,0.975,0.249,0.636,0.0888,0.109,0.686
ENSDARG00000112361,0.114,1.53,0.114,0.3,2.93,0.05,0.0665,0.095,0.0668,1.66
ENSDARG00000112362,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112366,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112369,0.0272,1.55,0.122,0.779,2.36,0.00598,0.0114,0.0824,0.164,2.57
ENSDARG00000112371,0.031,0.586,0.838,0.462,6.55,0.023,0.0764,0.416,0.057,4.44
ENSDARG00000112372,1.53,1.03,0.176,0.734,0.934,0.663,0.6,0.081,0.151,0.613
ENSDARG00000112375,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112377,0.357,0.648,0.305,0.39,6.31,0.246,0.351,0.296,0.0719,5.62
ENSDARG00000112383,0.176,1.41,0.172,1.32,1.99,0.058,0.268,0.104,0.169,1.31
ENSDARG00000112384,71.7,1.64,0.154,0.289,3.92,16.9,0.91,0.0433,0.0613,0.366
ENSDARG00000112387,0.205,1.95,0.286,0.601,6.53,0.101,0.594,0.208,0.102,8.19
ENSDARG00000112389,0.18,0.801,0.0921,0.72,1.81,0.0831,0.465,0.0514,0.137,1.51
ENSDARG00000112391,0.353,1.47,0.223,1.0,0.776,0.0783,0.0756,0.115,0.0913,0.284
ENSDARG00000112397,0.531,1.51,0.187,0.747,0.67,0.166,0.0697,0.109,0.0997,0.556
ENSDARG00000112401,4.44,1.26,0.475,0.536,0.449,2.12,0.859,0.251,0.13,0.351
ENSDARG00000112402,4.01,0.988,0.127,0.624,1.71,1.44,0.435,0.0506,0.113,1.13
ENSDARG00000112403,0.302,1.48,0.189,1.03,0.79,0.134,0.054,0.0641,0.0686,0.175
ENSDARG00000112404,0.917,1.58,0.104,0.565,2.19,0.5,0.0519,0.0612,0.0415,0.996
ENSDARG00000112405,0.722,1.45,0.233,0.925,2.17,0.306,0.0476,0.0352,0.0757,0.93
ENSDARG00000112407,0.207,1.5,0.142,1.06,1.64,0.071,0.0405,0.0561,0.101,0.202
ENSDARG00000112408,0.107,1.45,1.2,0.714,3.01,0.0374,0.61,0.955,0.0839,4.2
ENSDARG00000112410,0.199,1.51,0.108,0.496,1.9,0.0787,0.81,0.0593,0.0853,1.68
ENSDARG00000112414,0.0376,1.45,0.211,0.299,2.1,0.0179,0.0993,0.105,0.0217,1.24
ENSDARG00000112416,2.49,0.609,0.104,0.261,6.89,0.84,0.405,0.0423,0.0664,1.09
ENSDARG00000112419,6.78,1.56,0.107,0.405,55.2,2.98,0.841,0.0584,0.0703,5.29
ENSDARG00000112421,8.5,1.56,0.228,0.425,0.783,2.63,0.838,0.0799,0.0863,0.374
ENSDARG00000112422,0.26,1.48,0.211,0.227,6.51,0.114,0.0315,0.0933,0.00593,1.11
ENSDARG00000112429,1.77,1.08,0.0847,0.382,2.23,0.817,0.312,0.0542,0.0734,1.47
ENSDARG00000112431,0.201,1.63,0.0585,0.325,8.83,0.0625,0.123,0.0412,0.149,4.15
ENSDARG00000112432,22.3,1.2,0.181,0.705,0.892,8.2,0.686,0.0732,0.142,0.56
ENSDARG00000112435,0.598,1.43,0.229,0.688,10.6,0.309,0.785,0.2,0.122,12.4
ENSDARG00000112437,1.93,1.43,0.31,0.709,0.37,0.653,0.0673,0.0853,0.111,0.0901
ENSDARG00000112438,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112439,1.24,1.47,0.204,0.991,0.818,0.16,0.0538,0.0349,0.142,0.35
ENSDARG00000112442,0.0309,0.643,1.14,0.544,1.46,0.00836,0.285,0.141,0.0739,0.661
ENSDARG00000112444,4.07,1.73,0.066,0.471,13.1,2.68,0.0989,0.052,0.15,2.85
ENSDARG00000112446,0.442,1.55,0.108,0.344,27.4,0.142,0.0738,0.0257,0.142,13.7
ENSDARG00000112449,2.72,1.31,0.45,0.394,0.431,1.1,0.854,0.214,0.0979,0.201
ENSDARG00000112451,0.431,0.879,0.116,0.768,1.39,0.196,0.544,0.0567,0.149,1.02
ENSDARG00000112452,3.71,0.384,0.332,0.356,0.846,2.14,0.206,0.214,0.107,0.565
ENSDARG00000112453,0.0669,1.53,0.0733,0.108,36.7,0.0248,0.0761,0.0289,0.057,18.7
ENSDARG00000112454,0.439,0.533,0.698,0.698,1.29,0.305,0.247,0.325,0.142,1.74
ENSDARG00000112459,0.53,1.43,0.152,0.404,1.69,0.195,0.331,0.063,0.0772,1.15
ENSDARG00000112465,0.203,1.57,0.11,0.46,1.71,0.072,0.79,0.0489,0.0831,1.41
ENSDARG00000112469,0.721,1.44,0.239,1.01,1.56,0.279,0.0159,0.0591,0.109,0.747
ENSDARG00000112473,0.446,1.48,0.124,1.1,1.17,0.225,0.794,0.0692,0.201,0.873
ENSDARG00000112475,0.102,1.6,0.168,0.316,2.36,0.0444,0.847,0.0908,0.058,1.63
ENSDARG00000112476,1.37,0.274,0.156,0.5,1.66,0.592,0.218,0.0664,0.138,1.15
ENSDARG00000112477,0.186,1.58,0.115,0.372,4.38,0.116,0.836,0.099,0.0746,4.48
ENSDARG00000112478,0.0712,1.45,0.362,0.619,2.19,0.0514,0.0934,0.247,0.078,1.41
ENSDARG00000112479,0.115,1.52,0.0884,0.303,17.8,0.0177,0.0312,0.0231,0.151,15.5
ENSDARG00000112480,0.38,1.53,0.123,0.616,0.938,0.135,0.00812,0.0509,0.091,0.846
ENSDARG00000112483,0.765,1.25,0.12,1.12,1.23,0.361,0.672,0.0679,0.192,0.943
ENSDARG00000112485,0.535,1.62,0.0577,0.32,1.48,0.14,0.836,0.0212,0.0625,0.929
ENSDARG00000112486,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112491,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112493,2.19,1.5,0.194,0.498,2.99,0.186,0.0334,0.0256,0.0416,0.717
ENSDARG00000112494,0.0832,1.53,0.116,0.289,2.45,0.0315,0.724,0.0505,0.0556,1.7
ENSDARG00000112499,0.14,1.37,0.135,0.565,2.18,0.0634,0.659,0.0824,0.0968,2.03
ENSDARG00000112501,0.329,1.46,0.158,0.332,3.18,0.101,0.0231,0.0476,0.0424,1.07
ENSDARG00000112503,0.124,1.62,0.171,0.346,17.5,0.0239,0.0766,0.0374,0.0769,9.98
ENSDARG00000112507,0.19,2.3,0.154,0.525,8.2,0.0946,0.874,0.108,0.0918,6.54
ENSDARG00000112508,0.0496,1.37,0.143,0.464,3.57,0.0308,0.258,0.0947,0.0757,3.19
ENSDARG00000112510,2.53,0.517,0.148,0.469,2.18,1.19,0.352,0.0729,0.0926,1.62
ENSDARG00000112513,0.494,0.914,0.128,0.659,1.62,0.21,0.446,0.0628,0.117,1.24
ENSDARG00000112516,0.0444,1.48,0.187,0.637,2.19,0.0337,0.0343,0.0362,0.0555,1.08
ENSDARG00000112517,0.135,1.51,0.197,1.15,5.18,0.0151,0.0834,0.147,0.147,1.74
ENSDARG00000112518,0.306,1.49,0.06,0.144,20.8,0.0802,0.75,0.0208,0.0315,1.77
ENSDARG00000112519,0.416,0.909,0.165,0.36,1.78,0.161,0.249,0.0674,0.071,1.2
ENSDARG00000112520,0.147,1.53,0.0886,0.0655,25.3,0.00906,0.0394,0.00922,0.0182,0.458
ENSDARG00000112522,2.04,0.977,0.177,0.554,1.26,0.738,0.589,0.0687,0.109,0.807
ENSDARG00000112523,0.925,1.28,0.177,0.872,1.1,0.429,0.698,0.0957,0.154,0.788
ENSDARG00000112524,0.828,1.0,0.316,0.981,3.09,0.319,0.39,0.343,0.241,2.38
ENSDARG00000112525,0.211,1.67,0.156,0.254,19.6,0.127,0.0663,0.13,0.0215,2.86
ENSDARG00000112526,0.0568,1.58,0.094,0.231,11.8,0.0183,0.0702,0.0379,0.0432,4.89
ENSDARG00000112527,4.16,1.02,0.0928,0.242,3.43,1.58,0.133,0.0422,0.0496,1.83
ENSDARG00000112528,0.01,1.31,0.739,1.01,3.89,0.0056,0.662,1.05,0.138,4.61
ENSDARG00000112531,0.532,1.76,0.146,0.407,4.76,0.245,0.826,0.0744,0.0777,1.69
ENSDARG00000112532,0.387,1.63,0.226,0.457,11.6,0.232,0.233,0.225,0.118,4.8
ENSDARG00000112533,0.0373,1.96,0.191,0.467,4.08,0.0185,1.01,0.174,0.0789,5.22
ENSDARG00000112534,0.364,0.625,0.0864,0.76,2.26,0.158,0.251,0.0411,0.139,1.8
ENSDARG00000112535,0.0598,1.48,0.135,0.347,5.59,0.0246,0.0695,0.0718,0.0454,1.46
ENSDARG00000112540,0.00781,1.33,0.25,0.329,6.65,0.00239,0.235,0.206,0.0376,3.28
ENSDARG00000112541,0.873,1.57,0.14,1.09,0.921,0.418,0.833,0.0726,0.214,0.606
ENSDARG00000112542,0.119,1.16,0.141,0.368,1.89,0.0527,0.616,0.0705,0.0678,1.45
ENSDARG00000112543,0.0424,1.58,0.147,0.176,22.2,0.0208,0.829,0.13,0.0404,29.7
ENSDARG00000112544,3.07,1.47,0.303,0.767,0.531,1.1,0.0994,0.127,0.0228,0.279
ENSDARG00000112548,0.786,1.49,0.113,0.29,37.2,0.306,0.0291,0.0121,0.228,16.6
ENSDARG00000112549,1.85,1.18,0.165,0.418,1.54,0.591,0.643,0.0604,0.0776,0.907
ENSDARG00000112552,0.0986,1.39,0.223,0.301,3.65,0.0138,0.0512,0.123,0.0458,2.18
ENSDARG00000112555,0.391,1.21,0.0964,0.292,2.09,0.163,0.594,0.053,0.0561,1.1
ENSDARG00000112556,0.0078,0.883,0.775,0.219,4.01,0.00416,0.417,0.548,0.0426,4.49
ENSDARG00000112557,3.73,1.78,0.133,1.06,13.1,2.32,0.0841,0.0731,0.134,7.53
ENSDARG00000112560,0.0514,1.53,0.114,0.535,4.09,0.0138,0.118,0.112,0.0507,2.82
ENSDARG00000112561,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112567,0.082,1.0,0.759,0.386,4.78,0.0413,0.655,0.564,0.0747,10.4
ENSDARG00000112569,0.165,1.6,0.181,0.214,1.45,0.0634,0.865,0.0818,0.0426,0.819
ENSDARG00000112572,5.14,0.54,0.19,0.659,1.33,2.22,0.4,0.0856,0.14,0.852
ENSDARG00000112573,2.08,1.12,0.213,0.228,0.956,0.554,0.501,0.0632,0.0468,0.464
ENSDARG00000112574,0.122,0.241,0.875,0.504,6.43,0.029,0.0383,0.151,0.0561,8.73
ENSDARG00000112575,0.188,1.47,0.0861,0.273,33.6,0.0573,0.0478,0.041,0.19,17.6
ENSDARG00000112576,0.0304,1.05,0.483,0.382,4.64,0.0156,0.417,0.534,0.076,4.92
ENSDARG00000112578,0.0026,1.57,0.272,0.324,13.8,0.000319,0.141,0.166,0.0163,7.8
ENSDARG00000112579,1.54,0.466,0.124,0.653,2.36,0.729,0.357,0.055,0.162,2.12
ENSDARG00000112581,0.985,0.73,0.209,0.556,1.2,0.449,0.418,0.0992,0.11,0.865
ENSDARG00000112582,0.0582,1.32,0.137,0.645,2.51,0.03,0.792,0.111,0.107,2.7
ENSDARG00000112583,1.72,0.289,0.122,0.529,2.65,0.755,0.147,0.053,0.118,2.09
ENSDARG00000112586,0.0669,1.43,0.221,1.32,4.9,0.0345,0.247,0.0966,0.173,4.24
ENSDARG00000112591,0.0525,0.788,0.102,1.31,3.66,0.0281,0.423,0.112,0.212,4.03
ENSDARG00000112592,0.00524,1.52,0.146,0.298,3.44,0.00153,0.0354,0.106,0.0573,3.82
ENSDARG00000112593,0.0257,0.905,0.121,1.55,3.81,0.0148,0.571,0.144,0.254,4.65
ENSDARG00000112595,0.0451,1.52,0.0915,0.177,7.16,0.0129,0.0518,0.0251,0.0287,3.54
ENSDARG00000112598,0.163,1.0,0.115,1.62,2.63,0.0866,0.561,0.108,0.251,2.91
ENSDARG00000112601,0.00502,1.47,0.286,0.416,10.3,0.00117,0.109,0.194,0.0447,11.6
ENSDARG00000112605,0.978,1.24,0.146,0.801,1.09,0.428,0.677,0.0726,0.15,0.764
ENSDARG00000112606,0.0797,1.49,0.166,0.73,2.08,0.0448,0.0477,0.0745,0.109,1.54
ENSDARG00000112609,0.106,1.5,0.178,0.179,8.3,0.0228,0.0878,0.0585,0.0349,3.29
ENSDARG00000112611,0.0448,1.24,0.193,0.259,3.46,0.0216,0.601,0.136,0.0478,4.68
ENSDARG00000112613,0.896,0.974,0.0804,0.428,4.75,0.346,0.381,0.0396,0.0818,2.55
ENSDARG00000112616,0.225,1.03,0.127,0.473,2.11,0.0961,0.332,0.0666,0.0847,1.68
ENSDARG00000112625,0.914,1.21,0.234,0.449,0.893,0.39,0.602,0.113,0.0845,0.578
ENSDARG00000112629,0.0497,1.56,0.117,0.251,5.37,0.0206,0.0947,0.0637,0.0427,2.07
ENSDARG00000112631,0.838,1.51,0.191,0.732,0.812,0.386,0.793,0.0963,0.147,0.552
ENSDARG00000112632,0.116,1.49,0.0929,0.268,13.4,0.0411,0.0129,0.0268,0.0854,11.1
ENSDARG00000112637,0.266,1.61,0.125,0.254,1.23,0.0718,0.854,0.0414,0.05,0.72
ENSDARG00000112640,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112641,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112643,0.752,1.55,0.139,0.797,0.971,0.305,0.811,0.0708,0.141,0.733
ENSDARG00000112644,1.52,1.59,0.236,0.325,5.09,0.595,0.854,0.0974,0.0803,0.665
ENSDARG00000112646,0.0084,1.17,1.25,0.445,3.57,0.00239,0.269,0.661,0.0408,3.73
ENSDARG00000112647,0.445,1.34,0.144,1.11,1.26,0.222,0.745,0.081,0.196,0.927
ENSDARG00000112648,0.231,1.41,0.191,0.149,3.19,0.0423,0.0152,0.0425,0.0349,0.205
ENSDARG00000112649,0.103,1.6,0.123,0.171,31.8,0.0489,0.83,0.0651,0.0393,7.53
ENSDARG00000112650,3.39,2.47,0.183,0.997,2.53,1.55,1.11,0.114,0.164,1.54
ENSDARG00000112653,83.8,0.86,0.133,0.968,1.28,35.3,0.566,0.0624,0.18,0.785
ENSDARG00000112656,277.0,1.64,0.135,0.432,3.66,79.2,0.89,0.0473,0.0828,0.525
ENSDARG00000112658,9.06,0.142,0.233,0.203,1.02,3.57,0.0668,0.0922,0.064,0.666
ENSDARG00000112659,0.146,1.54,0.155,0.321,3.32,0.078,0.818,0.109,0.0607,3.02
ENSDARG00000112663,0.0572,1.6,0.125,1.26,6.61,0.0349,0.173,0.102,0.117,3.69
ENSDARG00000112664,0.143,1.58,0.0994,0.245,10.3,0.0244,0.0589,0.0323,0.0432,3.86
ENSDARG00000112666,0.138,1.3,0.354,0.489,8.22,0.0729,0.958,0.286,0.0742,9.48
ENSDARG00000112667,0.994,0.714,0.152,0.691,1.16,0.434,0.398,0.0701,0.136,0.818
ENSDARG00000112670,1.71,1.55,0.0795,0.401,1.66,0.531,0.701,0.0334,0.0734,1.16
ENSDARG00000112672,0.763,1.25,0.199,0.632,1.17,0.329,0.68,0.103,0.113,0.779
ENSDARG00000112674,3.87,1.29,0.0918,0.574,20.8,1.79,0.727,0.0594,0.1,1.95
ENSDARG00000112675,0.505,1.4,0.124,0.467,3.01,0.178,0.263,0.0438,0.0517,1.6
ENSDARG00000112677,1.64,2.46,0.111,1.13,2.54,0.707,0.757,0.0667,0.183,1.87
ENSDARG00000112681,0.396,0.997,0.158,0.314,1.28,0.135,0.571,0.063,0.0612,0.703
ENSDARG00000112682,0.6,1.56,0.122,0.559,41.2,0.197,0.0729,0.0668,0.115,24.1
ENSDARG00000112685,0.0573,0.885,0.338,0.723,3.74,0.0241,0.469,0.349,0.107,3.54
ENSDARG00000112686,0.232,1.38,0.0986,0.347,38.4,0.114,0.559,0.0678,0.0686,8.18
ENSDARG00000112687,0.0864,1.47,0.155,0.242,4.9,0.0362,0.0953,0.0822,0.0664,2.01
ENSDARG00000112689,0.102,1.54,0.0592,0.181,5.35,0.0446,0.808,0.0343,0.0383,2.39
ENSDARG00000112691,4.33,1.22,0.218,0.46,0.817,1.59,0.636,0.0909,0.0899,0.423
ENSDARG00000112692,0.0912,1.49,0.123,0.635,3.07,0.0563,0.0186,0.0675,0.088,1.88
ENSDARG00000112702,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112704,0.186,1.25,0.147,0.558,1.62,0.0821,0.761,0.0759,0.101,1.21
ENSDARG00000112709,2.03,1.59,0.159,0.642,3.52,0.82,0.851,0.0701,0.122,0.981
ENSDARG00000112713,1.65,1.52,0.159,0.272,7.93,0.494,0.791,0.054,0.0566,0.569
ENSDARG00000112715,0.146,1.53,0.115,0.309,1.47,0.052,0.819,0.0522,0.0579,1.23
ENSDARG00000112721,0.442,1.39,0.315,0.446,1.82,0.143,0.0859,0.129,0.0837,2.0
ENSDARG00000112723,0.0882,0.914,0.11,0.452,4.05,0.0396,0.355,0.0739,0.0823,4.14
ENSDARG00000112725,0.166,1.59,0.143,1.49,1.89,0.0404,0.0439,0.0633,0.21,1.04
ENSDARG00000112726,0.309,1.02,0.394,0.582,6.56,0.177,0.695,0.259,0.105,11.2
ENSDARG00000112727,4.17,1.48,0.177,0.638,0.845,1.16,0.0735,0.07,0.18,0.531
ENSDARG00000112728,2.31,1.12,0.171,1.01,1.01,1.05,0.644,0.0849,0.188,0.651
ENSDARG00000112731,0.611,1.46,0.231,0.512,7.26,0.318,0.0685,0.145,0.0549,2.45
ENSDARG00000112733,0.137,1.16,0.138,0.603,1.73,0.065,0.61,0.0824,0.107,1.68
ENSDARG00000112734,0.412,0.414,0.135,0.614,2.0,0.189,0.357,0.0625,0.153,1.49
ENSDARG00000112739,0.121,1.45,0.102,0.449,4.29,0.0289,0.034,0.0187,0.0135,1.12
ENSDARG00000112745,2.23,1.56,0.341,0.47,0.49,0.86,0.821,0.148,0.102,0.276
ENSDARG00000112746,4.43,1.17,0.295,0.306,0.948,1.33,0.745,0.0951,0.0669,0.413
ENSDARG00000112749,0.353,1.69,0.0572,0.262,9.19,0.0733,0.141,0.031,0.174,3.36
ENSDARG00000112751,0.319,1.25,0.167,0.713,1.13,0.163,0.699,0.0895,0.139,0.907
ENSDARG00000112758,0.702,0.637,1.38,0.905,1.57,0.247,0.21,0.487,0.123,0.956
ENSDARG00000112762,5.75,1.28,0.184,0.538,1.73,1.99,0.762,0.0716,0.0995,0.886
ENSDARG00000112763,0.599,1.47,0.0783,0.369,31.4,0.31,0.807,0.0521,0.0714,4.52
ENSDARG00000112764,0.354,0.37,0.105,0.934,2.38,0.183,0.331,0.0609,0.234,2.06
ENSDARG00000112765,0.108,4.24,0.174,0.377,13.2,0.0547,1.07,0.145,0.0762,14.4
ENSDARG00000112766,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000112767,0.178,1.34,0.203,0.436,14.5,0.0909,0.748,0.168,0.0813,15.4
